GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Petshop,br.com.dbc.petshop.entity,SexoType,5,33,0,0,0,2,1,3,1,3
Petshop,br.com.dbc.petshop.entity,HibernateUtil,29,0,0,0,8,0,3,0,3,0
Petshop,br.com.dbc.petshop.entity,Cliente,107,6,12,0,33,3,20,2,14,2
Petshop,br.com.dbc.petshop.entity,Animal,98,26,12,0,30,9,18,5,12,5
Petshop,br.com.dbc.petshop.entity,PersistenceUtils,10,0,0,0,6,0,3,0,3,0
Petshop,br.com.dbc.petshop,Main,22,0,0,0,7,0,2,0,2,0
